attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Location	Location of cage deployment	categorical				
Date	Date	Date		MM/DD/YYYY		
Cage	Cage ID	character				
Tag	Fish tag ID	character				
ContentsWeight	Weight of stomach contents	numeric	gram			
Fullness	Stomach fullness	categorical				
Digestion	Degree of digestion	categorical				
PreyTaxa	Prey taxa	character				
LHStage	Life stage	categorical				
Count	Count	character			
TaxonomicGrouping	Higher taxonomic grouping	character				
Comments	Comments	character				
